date,open,high,low,close,volume
02/16/2024,$0.1450,$0.1490,$0.1391,$0.1409,"71,713,516"
02/15/2024,$0.1448,$0.1553,$0.1420,$0.1455,"72,059,078"
02/14/2024,$0.1471,$0.1479,$0.1415,$0.1424,"51,865,289"
02/13/2024,$0.1500,$0.1508,$0.1409,$0.1448,"59,109,781"
02/12/2024,$0.1574,$0.1612,$0.1506,$0.1521,"67,387,125"
02/09/2024,$0.1669,$0.1675,$0.1538,$0.1550,"83,993,539"
02/08/2024,$0.1648,$0.1695,$0.1609,$0.1640,"58,567,609"
02/07/2024,$0.1609,$0.1723,$0.1550,$0.1650,"56,932,559"
02/06/2024,$0.1581,$0.1629,$0.1544,$0.1609,"59,453,738"
02/05/2024,$0.1720,$0.1740,$0.1540,$0.1561,"81,264,789"
02/02/2024,$0.1793,$0.1827,$0.1700,$0.1700,"57,176,859"
02/01/2024,$0.2100,$0.2219,$0.1770,$0.1802,"93,669,289"
01/31/2024,$0.1830,$0.2130,$0.1770,$0.2042,"92,952,688"
01/30/2024,$0.1862,$0.2039,$0.1731,$0.1803,"87,287,047"
01/29/2024,$0.1588,$0.1878,$0.1555,$0.1869,"97,837,727"
01/26/2024,$0.1634,$0.1654,$0.1550,$0.1553,"55,239,281"
01/25/2024,$0.1729,$0.1729,$0.1589,$0.1627,"68,931,938"
01/24/2024,$0.1800,$0.1835,$0.1650,$0.1681,"41,544,219"
01/23/2024,$0.1821,$0.1834,$0.1660,$0.1732,"56,561,527"
01/22/2024,$0.1627,$0.1850,$0.1615,$0.1850,"61,861,230"
