date,open,high,low,close,volume
02/16/2024,$16.20,$16.73,$16.07,$16.30,"25,352,539"
02/15/2024,$15.60,$16.55,$15.57,$16.35,"36,312,641"
02/14/2024,$15.60,$15.83,$15.37,$15.54,"23,707,289"
02/13/2024,$15.56,$15.58,$15.04,$15.38,"37,078,832"
02/12/2024,$15.96,$16.80,$15.85,$16.33,"37,615,609"
02/09/2024,$16.57,$16.84,$16.27,$16.68,"41,743,398"
02/08/2024,$15.20,$16.12,$15.15,$16.11,"58,211,480"
02/07/2024,$15.64,$15.77,$15.11,$15.17,"21,062,461"
02/06/2024,$15.03,$15.53,$14.74,$15.50,"27,700,660"
02/05/2024,$15.30,$15.35,$14.73,$14.94,"29,518,359"
02/02/2024,$15.25,$15.66,$15.00,$15.60,"24,617,490"
02/01/2024,$15.54,$15.76,$14.97,$15.53,"24,103,551"
01/31/2024,$15.60,$16.25,$15.31,$15.31,"31,526,279"
01/30/2024,$16.00,$16.31,$15.65,$15.66,"26,006,311"
01/29/2024,$15.43,$16.14,$15.03,$16.12,"37,754,801"
01/26/2024,$15.13,$15.48,$15.04,$15.29,"25,757,670"
01/25/2024,$15.00,$15.29,$14.59,$15.00,"38,654,031"
01/24/2024,$16.35,$16.49,$15.25,$15.34,"35,331,520"
01/23/2024,$16.63,$16.86,$15.84,$16.04,"32,649,221"
01/22/2024,$15.54,$16.81,$15.42,$16.03,"35,812,441"
