date,open,high,low,close,volume
02/16/2024,$202.06,$203.17,$197.40,$199.95,"111,346,703"
02/15/2024,$189.16,$200.88,$188.86,$200.45,"120,831,797"
02/14/2024,$185.30,$188.89,$183.35,$188.71,"81,202,992"
02/13/2024,$183.99,$187.26,$182.11,$184.02,"86,759,477"
02/12/2024,$192.11,$194.73,$187.28,$188.13,"95,498,602"
02/09/2024,$190.18,$194.12,$189.48,$193.57,"84,476,352"
02/08/2024,$189.00,$191.62,$185.58,$189.56,"83,034,039"
02/07/2024,$188.18,$189.79,$182.68,$187.58,"111,535,203"
02/06/2024,$177.21,$186.49,$177.11,$185.10,"122,676,000"
02/05/2024,$184.26,$184.68,$175.01,$181.06,"134,294,406"
02/02/2024,$185.04,$188.69,$182.00,$187.91,"110,612,703"
02/01/2024,$188.50,$189.88,$184.28,$188.86,"91,843,281"
01/31/2024,$187.00,$193.97,$185.85,$187.29,"103,221,398"
01/30/2024,$195.33,$196.36,$190.61,$191.59,"109,982,305"
01/29/2024,$185.63,$191.48,$183.67,$190.93,"125,013,102"
01/26/2024,$185.50,$186.78,$182.10,$183.25,"107,343,203"
01/25/2024,$189.70,$193.00,$180.06,$182.63,"198,076,797"
01/24/2024,$211.88,$212.73,$206.77,$207.83,"123,369,906"
01/23/2024,$211.30,$215.65,$207.75,$209.14,"106,605,906"
01/22/2024,$212.26,$217.80,$206.27,$208.80,"117,952,492"
